,mean_accuracy,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,0.3576000034809112,False,,,1,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-11-40,1682716300,7.6574156284332275,7.6574156284332275,18568,Dalton,127.0.0.1,7.6574156284332275,0,1,1.3855161666870115
1,0.3815999925136566,False,,,2,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-11-46,1682716306,6.013102293014526,13.670517921447754,18568,Dalton,127.0.0.1,13.670517921447754,0,2,1.3855161666870115
2,0.4329999983310699,False,,,3,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-11-52,1682716312,6.414494514465332,20.08501243591309,18568,Dalton,127.0.0.1,20.08501243591309,0,3,1.3855161666870115
3,0.448199987411499,False,,,4,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-11-58,1682716318,6.410306692123413,26.4953191280365,18568,Dalton,127.0.0.1,26.4953191280365,0,4,1.3855161666870115
4,0.4607999920845032,False,,,5,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-18-30,1682716710,6.844570159912109,33.33988928794861,31356,Dalton,127.0.0.1,6.844570159912109,0,1,2.2110555171966557
5,0.4277999997138977,False,,,6,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-18-35,1682716715,5.0534374713897705,38.39332675933838,31356,Dalton,127.0.0.1,11.89800763130188,0,2,2.2110555171966557
6,0.493800014257431,False,,,7,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-18-39,1682716719,4.826977968215942,43.22030472755432,31356,Dalton,127.0.0.1,16.724985599517822,0,3,2.2110555171966557
7,0.4438000023365021,False,,,8,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-18-44,1682716724,4.598381042480469,47.81868577003479,31356,Dalton,127.0.0.1,21.32336664199829,0,4,2.2110555171966557
8,0.5224000215530396,False,,,9,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-25-22,1682717122,6.430132150650024,54.248817920684814,25904,Dalton,127.0.0.1,6.430132150650024,0,1,1.8667457103729248
9,0.5112000107765198,False,,,10,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-25-27,1682717127,5.3721771240234375,59.62099504470825,25904,Dalton,127.0.0.1,11.802309274673462,0,2,1.8667457103729248
10,0.5037999749183655,False,,,11,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-25-33,1682717133,5.701476335525513,65.32247138023376,25904,Dalton,127.0.0.1,17.503785610198975,0,3,1.8667457103729248
11,0.5361999869346619,False,,,12,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-25-39,1682717139,6.023867845535278,71.34633922576904,25904,Dalton,127.0.0.1,23.527653455734253,0,4,1.8667457103729248
12,0.5465999841690063,False,,,13,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-32-24,1682717544,7.389291524887085,78.73563075065613,24332,Dalton,127.0.0.1,7.389291524887085,0,1,2.2612287998199463
13,0.5397999882698059,False,,,14,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-32-30,1682717550,5.88585638999939,84.62148714065552,24332,Dalton,127.0.0.1,13.275147914886476,0,2,2.2612287998199463
14,0.5383999943733215,False,,,15,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-32-36,1682717556,6.077914476394653,90.69940161705016,24332,Dalton,127.0.0.1,19.353062391281128,0,3,2.2612287998199463
15,0.5464000105857849,False,,,16,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-32-42,1682717562,6.859174489974976,97.55857610702516,24332,Dalton,127.0.0.1,26.212236881256104,0,4,2.2612287998199463
16,0.5526000261306763,False,,,17,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-38-53,1682717933,8.152112007141113,105.71068811416626,19720,Dalton,127.0.0.1,8.152112007141113,0,1,2.2093722820281982
17,0.5216000080108643,False,,,18,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-38-59,1682717939,6.553067445755005,112.26375555992126,19720,Dalton,127.0.0.1,14.705179452896118,0,2,2.2093722820281982
18,0.5297999978065491,False,,,19,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-39-06,1682717946,6.809969186782837,119.0737247467041,19720,Dalton,127.0.0.1,21.515148639678955,0,3,2.2093722820281982
19,0.5633999705314636,True,,,20,25835_00001,b2eb44275ba84f478c2b063f72b3b5e0,2023-04-28_22-39-14,1682717954,7.517780542373657,126.59150528907776,19720,Dalton,127.0.0.1,29.03292918205261,0,4,2.2093722820281982
