,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_beta_1,param_beta_2,param_lr,param_opt,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
100,53.72978086471558,2.202155217832259,9.131901931762695,2.476717758802553,16,0.6,0.333,0.001,SGD,"{'batch_size': 16, 'beta_1': 0.6, 'beta_2': 0.333, 'lr': 0.001, 'opt': 'SGD'}",0.12600000202655792,0.1289999932050705,0.12700000405311584,0.1120000034570694,0.1611611545085907,0.13103223145008086,0.016221528226895657,149,0.12228056788444519,0.13153287768363953,0.14078520238399506,0.117779441177845,0.1525000035762787,0.13297561854124068,0.012566468294527455
101,58.68724851608276,1.4504483771957886,5.623539304733276,0.8041128885701357,16,0.6,0.333,0.001,adam,"{'batch_size': 16, 'beta_1': 0.6, 'beta_2': 0.333, 'lr': 0.001, 'opt': 'adam'}",0.44200000166893005,0.46000000834465027,0.44699999690055847,0.4300000071525574,0.45845845341682434,0.4474916934967041,0.011073276834946527,7,0.4948737323284149,0.49762439727783203,0.4743686020374298,0.476619154214859,0.49950000643730164,0.4885971784591675,0.010822965561997064
102,51.621133756637576,1.5050203945723652,5.363742399215698,1.2340278138523024,16,0.6,0.333,0.01,SGD,"{'batch_size': 16, 'beta_1': 0.6, 'beta_2': 0.333, 'lr': 0.01, 'opt': 'SGD'}",0.33799999952316284,0.24400000274181366,0.35100001096725464,0.3050000071525574,0.2912912964820862,0.30585826337337496,0.03771006792639537,77,0.34308576583862305,0.24681170284748077,0.35033759474754333,0.3173293471336365,0.34474998712539673,0.3204628795385361,0.03854470661870784
103,60.90677080154419,3.0440684232088917,8.159115934371949,1.8225557923266298,16,0.6,0.333,0.01,adam,"{'batch_size': 16, 'beta_1': 0.6, 'beta_2': 0.333, 'lr': 0.01, 'opt': 'adam'}",0.0989999994635582,0.10400000214576721,0.10499999672174454,0.10199999809265137,0.09709709882736206,0.10141941905021667,0.002978357293697454,232,0.10527631640434265,0.10377594083547592,0.10327582061290741,0.10402600467205048,0.1054999977350235,0.10437081605196,0.0008679595133391057
104,54.21075067520142,3.3923939642384413,11.20069499015808,1.7908786041671236,16,0.6,0.666,1e-05,SGD,"{'batch_size': 16, 'beta_1': 0.6, 'beta_2': 0.666, 'lr': 1e-05, 'opt': 'SGD'}",0.1080000028014183,0.09799999743700027,0.08399999886751175,0.07400000095367432,0.09909909963607788,0.09261981993913651,0.012070429773087182,276,0.10877719521522522,0.10177544504404068,0.08827206492424011,0.09702425450086594,0.07500000298023224,0.09416979253292083,0.011675908005888927
105,64.77448763847352,1.834504443198337,3.744564247131348,0.5938149481965459,16,0.6,0.666,1e-05,adam,"{'batch_size': 16, 'beta_1': 0.6, 'beta_2': 0.666, 'lr': 1e-05, 'opt': 'adam'}",0.15700000524520874,0.12399999797344208,0.10400000214576721,0.12700000405311584,0.1521521508693695,0.13283043205738068,0.019496980441306787,145,0.15528881549835205,0.12903225421905518,0.11752938479185104,0.13628406822681427,0.1720000058412552,0.14202690571546556,0.01937129145708763
106,58.95385007858276,0.8064688919592418,4.753153133392334,1.7368520640236749,16,0.6,0.666,0.0001,SGD,"{'batch_size': 16, 'beta_1': 0.6, 'beta_2': 0.666, 'lr': 0.0001, 'opt': 'SGD'}",0.08500000089406967,0.09099999815225601,0.11599999666213989,0.13899999856948853,0.11611611396074295,0.1094232216477394,0.019487141330269204,194,0.07826957106590271,0.09127281606197357,0.10402600467205048,0.11302825808525085,0.11699999868869781,0.10071932971477508,0.014287982941802602
107,58.95386805534363,8.813014325656846,10.377532577514648,1.5963040447695915,16,0.6,0.666,0.0001,adam,"{'batch_size': 16, 'beta_1': 0.6, 'beta_2': 0.666, 'lr': 0.0001, 'opt': 'adam'}",0.35600000619888306,0.33500000834465027,0.33500000834465027,0.3479999899864197,0.3243243098258972,0.3396648645401001,0.011092029163379405,61,0.3405851423740387,0.3500875234603882,0.34483620524406433,0.3748437166213989,0.34599998593330383,0.3512705147266388,0.012169234244600431
108,51.05736646652222,5.143204102740963,11.48371090888977,0.692911262237388,16,0.6,0.666,0.001,SGD,"{'batch_size': 16, 'beta_1': 0.6, 'beta_2': 0.666, 'lr': 0.001, 'opt': 'SGD'}",0.16500000655651093,0.12600000202655792,0.12800000607967377,0.13899999856948853,0.14914914965629578,0.1414298325777054,0.014418633509891442,127,0.17079269886016846,0.13153287768363953,0.12103025615215302,0.16179044544696808,0.14650000631809235,0.14632925689220427,0.01842015079167982
109,64.73860692977905,1.349635342531959,3.916965436935425,0.709996121006448,16,0.6,0.666,0.001,adam,"{'batch_size': 16, 'beta_1': 0.6, 'beta_2': 0.666, 'lr': 0.001, 'opt': 'adam'}",0.44999998807907104,0.4740000069141388,0.4399999976158142,0.42899999022483826,0.45045045018196106,0.4486900866031647,0.014890428670457057,6,0.5131282806396484,0.5128782391548157,0.48987245559692383,0.5053763389587402,0.4972499907016754,0.5037010610103607,0.00904152930257214
110,60.19465236663818,1.667799635633439,3.6841673374176027,0.8171849552326974,16,0.6,0.666,0.01,SGD,"{'batch_size': 16, 'beta_1': 0.6, 'beta_2': 0.666, 'lr': 0.01, 'opt': 'SGD'}",0.3630000054836273,0.32899999618530273,0.2919999957084656,0.3449999988079071,0.3013013005256653,0.3260602593421936,0.026476435671015115,67,0.3673418462276459,0.33083271980285645,0.3170792758464813,0.3798449635505676,0.34474998712539673,0.3479697585105896,0.023019875853369794
111,58.21761960983277,5.474861485646877,11.452120351791383,1.1660964705899477,16,0.6,0.666,0.01,adam,"{'batch_size': 16, 'beta_1': 0.6, 'beta_2': 0.666, 'lr': 0.01, 'opt': 'adam'}",0.10599999874830246,0.10000000149011612,0.09700000286102295,0.0989999994635582,0.10910911113023758,0.10222182273864747,0.004567130238115644,229,0.10302575677633286,0.10452613234519958,0.1055263802409172,0.10527631640434265,0.0989999994635582,0.1034709170460701,0.0023993810373138134
